ID,DATE,ACTION,PARAM,USERNAME,FILEPATH,VALID
289771260123532main-566532092,Mon Feb 01 00:13:59 EST 2016,started to upload file,null,etransactiondev,/export/home/pub/etransactiondev/uploads/etransactionenvironment/ABC/rrd/in/WCWT.SMR.XYZ0002.PLSE.INPUT01.LFEP_APOL_D_M_20160201171358.TXT,TRUE
289771260123532main-566532092,null,was not created,null,null,/export/home/pub/etransactiondev/uploads/etransactionenvironment/ABC/rrd/in/WCWT.SMR.XYZ0002.PLSE.INPUT01.LFEP_APOL_D_M_20160201171358.txt,TRUE
289771260123532main-566532092,Mon Feb 01 00:14:00 EST 2016,uploaded file,null,etransactiondev,/export/home/pub/etransactiondev/uploads/etransactionenvironment/ABC/rrd/in/WCWT.SMR.XYZ0002.PLSE.INPUT01.LFEP_APOL_D_M_20160201171358.TXT,TRUE
289771260123532main-566532092,null,chmod,600,null,/export/home/pub/etransactiondev/uploads/etransactionenvironment/ABC/rrd/in/WCWT.SMR.XYZ0002.PLSE.INPUT01.LFEP_APOL_D_M_20160201171358.txt,TRUE
289771260123532main-566532092,null,chown,9999092,null,/export/home/pub/etransactiondev/uploads/etransactionenvironment/ABC/rrd/in/WCWT.SMR.XYZ0002.PLSE.INPUT01.LFEP_APOL_D_M_20160201171358.TXT,TRUE
289771260123532main-566532092,null,chgrp,9999092,null,/export/home/pub/etransactiondev/uploads/etransactionenvironment/ABC/rrd/in/WCWT.SMR.XYZ0002.PLSE.INPUT01.LFEP_APOL_D_M_20160201171358.txt,TRUE
289771260123532main-566532092,null,null,null,null,null,TRUE
289771260123532main-566532092,null,null,null,null,null,TRUE
289771285645066main1767864708,null,null,null,null,null,TRUE
289771285645066main1767864708,Mon Feb 01 00:14:25 EST 2016,started to upload file,null,etransactiondev,/export/home/pub/etransactiondev/uploads/etransactionenvironment/ABC/rrd/in/WCWT.SMR.XYZ0002.PLSE.INPUT01.LFEP_AMIX_D_M_20160201171424.TXT,TRUE
289771285645066main1767864708,null,was not created,null,null,/export/home/pub/etransactiondev/uploads/etransactionenvironment/ABC/rrd/in/WCWT.SMR.XYZ0002.PLSE.INPUT01.LFEP_AMIX_D_M_20160201171424.txt,TRUE
289771285645066main1767864708,Mon Feb 01 00:14:25 EST 2016,uploaded file,null,etransactiondev,/export/home/pub/etransactiondev/uploads/etransactionenvironment/ABC/rrd/in/WCWT.SMR.XYZ0002.PLSE.INPUT01.LFEP_AMIX_D_M_20160201171424.TXT,TRUE
289771285645066main1767864708,null,chmod,600,null,/export/home/pub/etransactiondev/uploads/etransactionenvironment/ABC/rrd/in/WCWT.SMR.XYZ0002.PLSE.INPUT01.LFEP_AMIX_D_M_20160201171424.txt,TRUE
289771285645066main1767864708,null,chown,9999092,null,/export/home/pub/etransactiondev/uploads/etransactionenvironment/ABC/rrd/in/WCWT.SMR.XYZ0002.PLSE.INPUT01.LFEP_AMIX_D_M_20160201171424.TXT,TRUE
289771285645066main1767864708,null,chgrp,9999092,null,/export/home/pub/etransactiondev/uploads/etransactionenvironment/ABC/rrd/in/WCWT.SMR.XYZ0002.PLSE.INPUT01.LFEP_AMIX_D_M_20160201171424.TXT,TRUE
289771285645066main1767864708,null,null,null,null,null,TRUE
289771285645066main1767864708,null,null,null,null,null,TRUE
289771288181055main-1062391306,null,null,null,null,null,TRUE
289771288181055main-1062391306,Mon Feb 01 00:20:23 EST 2016,started to upload file,null,awduat10,/export/home/pub/awduat10/zip/PPEA_GROUP_099693939_20160201122022.zip,TRUE
289771288181055main-1062391306,null,was not created,null,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693939_20160201122022.zip,TRUE
289771288181055main-1062391306,Mon Feb 01 00:20:23 EST 2016,uploaded file,null,awduat10,/export/home/pub/awduat10/zip/PPEA_GROUP_099693939_20160201122022.zip,TRUE
289771288181055main-1062391306,null,chmod,600,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693939_20160201122022.zip,TRUE
289771288181055main-1062391306,null,chown,9999113,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693939_20160201122022.zip,TRUE
289771288181055main-1062391306,null,chgrp,9999113,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693939_20160201122022.zip,TRUE
289771288181055main-1062391306,null,null,null,null,null,TRUE
289771288181055main-1062391306,null,null,null,null,null,TRUE
289771290238498main-555549496,null,null,null,null,null,TRUE
289771290238498main-555549496,Mon Feb 01 00:20:26 EST 2016,started to upload file,null,awduat10,/export/home/pub/awduat10/zip/PPEA_GROUP_099693638_20160201122025.zip,TRUE
289771290238498main-555549496,null,was not created,null,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693638_20160201122025.zip,TRUE
289771290238498main-555549496,Mon Feb 01 00:20:26 EST 2016,uploaded file,null,awduat10,/export/home/pub/awduat10/zip/PPEA_GROUP_099693638_20160201122025.zip,TRUE
289771290238498main-555549496,null,chmod,600,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693638_20160201122025.zip,TRUE
289771290238498main-555549496,null,chown,9999113,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693638_20160201122025.zip,TRUE
289771290238498main-555549496,null,chgrp,9999113,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693638_20160201122025.zip,TRUE
289771290238498main-555549496,null,null,null,null,null,TRUE
289771290238498main-555549496,null,null,null,null,null,TRUE
289771292383610main1772606835,null,null,null,null,null,TRUE
289771292383610main1772606835,Mon Feb 01 00:20:28 EST 2016,started to upload file,null,awduat10,/export/home/pub/awduat10/zip/PPEA_GROUP_099693640_20160201122027.zip,TRUE
289771292383610main1772606835,null,was not created,null,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693640_20160201122027.zip,TRUE
289771292383610main1772606835,Mon Feb 01 00:20:29 EST 2016,uploaded file,null,awduat10,/export/home/pub/awduat10/zip/PPEA_GROUP_099693640_20160201122027.zip,TRUE
289771292383610main1772606835,null,chmod,600,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693640_20160201122027.zip,TRUE
289771292383610main1772606835,null,chown,9999113,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693640_20160201122027.zip,TRUE
289771292383610main1772606835,null,chgrp,9999113,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693640_20160201122027.zip,TRUE
289771292383610main1772606835,null,null,null,null,null,TRUE
289771292383610main1772606835,null,null,null,null,null,TRUE
289771294269564main1288121763,null,null,null,null,null,TRUE
289771294269564main1288121763,Mon Feb 01 00:20:30 EST 2016,started to upload file,null,awduat10,/export/home/pub/awduat10/zip/PPEA_GROUP_099693639_20160201122029.zip,TRUE
289771294269564main1288121763,null,was not created,null,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693639_20160201122029.zip,TRUE
289771294269564main1288121763,Mon Feb 01 00:20:31 EST 2016,uploaded file,null,awduat10,/export/home/pub/awduat10/zip/PPEA_GROUP_099693639_20160201122029.zip,TRUE
289771294269564main1288121763,null,chmod,600,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693639_20160201122029.zip,TRUE
289771294269564main1288121763,null,chown,9999113,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693639_20160201122029.zip,TRUE
289771294269564main1288121763,null,chgrp,9999113,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693639_20160201122029.zip,TRUE
289771294269564main1288121763,null,null,null,null,null,TRUE
289771294269564main1288121763,null,null,null,null,null,TRUE
289771296047750main-598108830,null,null,null,null,null,TRUE
289771296047750main-598108830,Mon Feb 01 00:20:34 EST 2016,started to upload file,null,awduat10,/export/home/pub/awduat10/zip/PPEA_GROUP_099693940_20160201122033.zip,TRUE
289771296047750main-598108830,null,was not created,null,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693940_20160201122033.zip,TRUE
289771296047750main-598108830,Mon Feb 01 00:20:34 EST 2016,uploaded file,null,awduat10,/export/home/pub/awduat10/zip/PPEA_GROUP_099693940_20160201122033.zip,TRUE
289771296047750main-598108830,null,chmod,600,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693940_20160201122033.zip,TRUE
289771296047750main-598108830,null,chown,9999113,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693940_20160201122033.zip,TRUE
289771296047750main-598108830,null,chgrp,9999113,null,/export/home/pub/awduat10/zip/PPEA_GROUP_099693940_20160201122033.zip,TRUE
289771296047750main-598108830,null,null,null,null,null,TRUE
289771296047750main-598108830,null,null,null,null,null,TRUE
289771297753234main-1127676538,null,null,null,null,null,TRUE
289771297753234main-1127676538,Mon Feb 01 00:22:04 EST 2016,started to upload file,null,pfinity_bie_uat,/export/home/pub/pfinity_bie_uat/out/pfinity_nbfe_uat/nsccapp_02_pfs.txt,TRUE
289771297753234main-1127676538,null,was not created,null,null,/export/home/pub/pfinity_bie_uat/out/pfinity_nbfe_uat/nsccapp_02_pfs.txt,TRUE
289771297753234main-1127676538,Mon Feb 01 00:22:05 EST 2016,uploaded file,null,pfinity_bie_uat,/export/home/pub/pfinity_bie_uat/out/pfinity_nbfe_uat/nsccapp_02_pfs.txt,TRUE
289771297753234main-1127676538,null,chmod,600,null,/export/home/pub/pfinity_bie_uat/out/pfinity_nbfe_uat/nsccapp_02_pfs.txt,TRUE
289771297753234main-1127676538,null,chown,999900968,null,/export/home/pub/pfinity_bie_uat/out/pfinity_nbfe_uat/nsccapp_02_pfs.txt,TRUE
289771297753234main-1127676538,null,chgrp,999900968,null,/export/home/pub/pfinity_bie_uat/out/pfinity_nbfe_uat/nsccapp_02_pfs.txt,TRUE
289771297753234main-1127676538,null,null,null,null,null,TRUE
289771297753234main-1127676538,null,null,null,null,null,TRUE
